City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Sungairaya,ID,2022-02-03 03:37:38,0.7,108.9,85.91,66,78,5.53
68,Coquimbo,CL,2022-02-03 03:35:52,-29.9533,-71.3436,62.33,88,0,1.14
69,Rodrigues Alves,BR,2022-02-03 03:37:39,-7.738,-72.6509,75.06,86,100,1.99
70,Requena,ES,2022-02-03 03:37:39,39.4883,-1.1004,44.8,46,26,5.93
71,Hofn,IS,2022-02-03 03:37:40,64.2539,-15.2082,30.99,62,100,13.65
72,Macaubas,BR,2022-02-03 03:37:40,-13.0194,-42.6986,70.83,80,53,2.19
73,Blankenberge,BE,2022-02-03 03:37:40,51.3131,3.1323,46.96,84,100,1.01
74,Sulangan,PH,2022-02-03 03:37:41,11.1373,123.7228,81.14,76,100,10.38
75,Pallavaram,IN,2022-02-03 03:37:41,12.9761,80.1836,78.71,83,20,3.44
76,Nisia Floresta,BR,2022-02-03 03:37:41,-6.0911,-35.2086,80.98,85,67,6.26
77,East London,ZA,2022-02-03 03:37:42,-33.0153,27.9116,70.74,100,100,5.75
78,Butaritari,KI,2022-02-03 03:37:42,3.0707,172.7902,81.59,79,100,15.59
79,Qaanaaq,GL,2022-02-03 03:37:43,77.484,-69.3632,-10.25,81,100,6.62
80,Cabo San Lucas,MX,2022-02-03 03:37:30,22.8909,-109.9124,70.52,74,100,10.36
81,Paita,PE,2022-02-03 03:37:43,-5.0892,-81.1144,72.21,76,54,13.27
82,Mananara,MG,2022-02-03 03:37:43,-16.1667,49.7667,75.18,82,100,3.49
83,Severo-Kurilsk,RU,2022-02-03 03:37:44,50.6789,156.125,30.72,77,100,9.84
84,Barentu,ER,2022-02-03 03:37:44,15.1139,37.5928,67.69,57,51,3.69
85,Kapaa,US,2022-02-03 03:37:44,22.0752,-159.319,78.78,71,75,1.01
86,Clyde River,CA,2022-02-03 03:37:45,70.4692,-68.5914,-16.37,76,100,17.27
87,Port Lincoln,AU,2022-02-03 03:33:47,-34.7333,135.8667,67.55,56,25,14.81
88,Avarua,CK,2022-02-03 03:32:50,-21.2078,-159.775,84.25,79,20,16.11
89,Tasiilaq,GL,2022-02-03 03:38:45,65.6145,-37.6368,12.36,74,99,7.87
90,Lingao,CN,2022-02-03 03:38:45,19.9103,109.6859,59.11,86,100,8.23
91,Rikitea,PF,2022-02-03 03:38:46,-23.1203,-134.9692,77.94,76,66,10.22
92,Hamilton,US,2022-02-03 03:38:46,39.1834,-84.5333,46.99,96,100,1.01
93,Lunino,RU,2022-02-03 03:38:47,53.5918,45.2271,30.9,99,100,3.62
94,Norman Wells,CA,2022-02-03 03:35:51,65.282,-126.8329,-25.56,68,75,8.05
95,Dunkwa,GH,2022-02-03 03:38:47,5.9656,-1.78,70.83,99,19,1.57
96,Husavik,IS,2022-02-03 03:38:47,66.0449,-17.3389,6.71,95,96,0.69
97,Tigil,RU,2022-02-03 03:38:48,57.8,158.6667,19.06,88,93,4.63
98,Cape Town,ZA,2022-02-03 03:38:48,-33.9258,18.4232,66.11,88,40,5.75
99,Port Alfred,ZA,2022-02-03 03:37:20,-33.5906,26.891,73.04,91,90,12.35
100,Saldanha,ZA,2022-02-03 03:38:49,-33.0117,17.9442,62.65,91,0,8.01
101,Port-Cartier,CA,2022-02-03 03:38:49,50.0334,-66.8654,28.74,99,100,9.91
102,Narsaq,GL,2022-02-03 03:33:59,60.9167,-46.05,7.02,60,100,15.28
103,Maraa,BR,2022-02-03 03:38:49,-1.8333,-65.3667,74.14,97,100,2.64
104,Todos Santos,MX,2022-02-03 03:38:50,23.45,-110.2167,70.02,76,86,3.44
105,Bonnyville,CA,2022-02-03 03:38:50,54.2668,-110.735,-11.88,91,100,9.13
106,Dangriga,BZ,2022-02-03 03:38:50,16.9692,-88.2321,77.99,86,0,8.59
107,Povenets,RU,2022-02-03 03:38:51,62.8487,34.8262,-1.82,99,88,3.2
108,San Ramon,US,2022-02-03 03:34:02,37.7799,-121.978,55.89,43,0,0.0
109,Souillac,MU,2022-02-03 03:36:14,-20.5167,57.5167,79.18,94,75,26.46
110,Xam Nua,LA,2022-02-03 03:38:51,20.4197,104.0439,63.34,72,96,2.57
111,Olafsvik,IS,2022-02-03 03:38:26,64.8945,-23.7142,28.42,52,18,2.73
112,Axim,GH,2022-02-03 03:38:52,4.8699,-2.2405,77.65,85,58,1.16
113,Nikolskoye,RU,2022-02-03 03:38:52,59.7035,30.7861,17.49,100,95,1.1
114,Aklavik,CA,2022-02-03 03:38:52,68.2191,-135.0107,-24.77,98,100,3.76
115,Pitimbu,BR,2022-02-03 03:38:53,-7.4706,-34.8086,79.39,78,60,10.25
116,Gambela,ET,2022-02-03 03:38:53,8.25,34.5833,79.68,38,63,2.33
117,Ancud,CL,2022-02-03 03:38:53,-41.8697,-73.8203,53.42,92,74,3.51
118,Road Town,VG,2022-02-03 03:38:54,18.4167,-64.6167,77.0,75,3,16.08
119,Suileng,CN,2022-02-03 03:38:54,47.25,127.0833,3.36,82,77,4.79
120,Uglich,RU,2022-02-03 03:38:54,57.5275,38.3317,14.95,97,100,3.15
121,Seoul,KR,2022-02-03 03:38:51,37.5683,126.9778,33.19,37,0,9.22
122,Honningsvag,NO,2022-02-03 03:38:55,70.9821,25.9704,17.13,70,100,11.61
123,Bilma,NE,2022-02-03 03:34:54,18.6853,12.9164,51.37,34,0,12.68
124,Gladstone,AU,2022-02-03 03:38:55,-23.85,151.25,89.53,55,40,16.11
125,Huicungo,PE,2022-02-03 03:38:55,-7.2833,-76.8,71.56,81,100,2.17
