City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Serik,TR,36.9169,31.0989,44.74,63,27,13.56,scattered clouds
79,Lafia,NG,8.4833,8.5167,77.49,15,0,5.91,clear sky
80,Khatanga,RU,71.9667,102.5,-37.07,100,66,3.02,broken clouds
81,Callaway,US,30.153,-85.5699,53.53,96,75,5.01,broken clouds
82,Severo-Kurilsk,RU,50.6789,156.125,29.75,92,100,6.64,light snow
83,Srednekolymsk,RU,67.45,153.6833,-36.17,100,100,2.13,overcast clouds
84,Narsaq,GL,60.9167,-46.05,-2.45,61,11,13.51,few clouds
85,Barrow,US,71.2906,-156.7887,-25.58,75,100,9.22,haze
86,Thompson,CA,55.7435,-97.8558,-9.24,59,20,8.05,few clouds
87,Mehamn,NO,71.0357,27.8492,21.09,89,100,30.91,light snow
88,Padang,ID,-0.9492,100.3543,73.45,91,100,3.2,overcast clouds
89,Ilulissat,GL,69.2167,-51.1,3.94,85,100,14.05,light snow
90,Chornukhy,UA,50.2673,32.942,15.42,95,100,4.38,overcast clouds
91,Port Alfred,ZA,-33.5906,26.891,68.54,80,100,7.0,overcast clouds
92,Iqaluit,CA,63.7506,-68.5145,-16.87,52,75,4.61,broken clouds
93,Muisne,EC,0.6,-80.0333,80.71,78,45,7.4,scattered clouds
94,Salalah,OM,17.0151,54.0924,69.06,68,2,2.19,clear sky
95,Acari,PE,-15.4311,-74.6158,75.51,68,10,8.14,clear sky
96,Nome,US,64.5011,-165.4064,6.17,59,100,5.39,overcast clouds
97,Teya,RU,60.3778,92.6267,17.11,89,100,8.88,overcast clouds
98,Komsomolskiy,UZ,40.4272,71.7189,36.82,68,11,4.61,few clouds
99,Castro,BR,-24.7911,-50.0119,66.15,96,96,4.99,overcast clouds
100,Belmonte,BR,-15.8631,-38.8828,81.1,79,100,11.18,overcast clouds
101,Zeya,RU,53.75,127.2667,-3.17,86,100,3.69,overcast clouds
102,Tual,ID,-5.6667,132.75,83.79,76,100,15.7,overcast clouds
103,Kahului,US,20.8947,-156.47,85.26,73,0,8.99,clear sky
104,Opuwo,NA,-18.0607,13.84,68.81,51,67,2.53,broken clouds
105,Cubarral,CO,3.7935,-73.8406,80.71,62,97,3.87,overcast clouds
106,Jamestown,US,42.097,-79.2353,21.09,65,100,4.0,overcast clouds
107,Olafsvik,IS,64.8945,-23.7142,27.86,70,100,24.94,overcast clouds
108,Mitsamiouli,KM,-11.3847,43.2844,81.16,81,96,11.7,light rain
109,Udachnyy,RU,66.4167,112.4,-32.48,100,68,3.76,broken clouds
110,Bluff,NZ,-46.6,168.3333,55.8,58,93,6.02,overcast clouds
111,Sainte-Maxime,FR,43.3,6.6333,55.99,52,27,7.09,scattered clouds
112,Tecoanapa,MX,16.5167,-98.75,80.87,61,0,7.94,clear sky
113,Dabou,CI,5.3256,-4.3769,82.2,88,1,6.91,clear sky
114,Am Timan,TD,11.0297,20.2827,73.63,17,11,6.73,few clouds
115,Hithadhoo,MV,-0.6,73.0833,81.52,74,82,11.41,broken clouds
116,Saint Austell,GB,50.3383,-4.7658,43.25,70,63,10.89,broken clouds
117,Mar Del Plata,AR,-38.0023,-57.5575,70.09,85,75,1.01,moderate rain
118,Bolama,GW,11.5833,-15.4667,75.54,74,3,10.94,clear sky
119,Bluffton,US,32.2371,-80.8604,67.05,94,40,1.01,scattered clouds
120,Bethel,US,41.3712,-73.414,34.16,87,100,9.22,light snow
121,Vardo,NO,70.3705,31.1107,17.8,90,100,28.79,light snow
122,Hermanus,ZA,-34.4187,19.2345,62.8,68,0,18.99,clear sky
123,Coquimbo,CL,-29.9533,-71.3436,67.73,68,0,10.36,clear sky
124,Lompoc,US,34.6391,-120.4579,71.02,33,0,9.22,clear sky
125,Avarua,CK,-21.2078,-159.775,82.45,78,40,17.27,scattered clouds
126,Benton Harbor,US,42.1167,-86.4542,21.43,73,100,11.5,overcast clouds
127,Shelburne,CA,44.0787,-80.2041,11.12,83,100,7.11,overcast clouds
128,Ahipara,NZ,-35.1667,173.1667,77.7,70,94,15.21,overcast clouds
129,Huarmey,PE,-10.0681,-78.1522,73.51,77,12,11.14,few clouds
130,Namibe,AO,-15.1961,12.1522,72.01,73,92,7.09,overcast clouds
131,Naze,JP,28.3667,129.4833,52.72,60,80,17.27,broken clouds
132,Dikson,RU,73.5069,80.5464,-3.3,95,100,6.73,overcast clouds
133,Hurghada,EG,27.2574,33.8129,59.04,44,0,11.5,clear sky
134,Muros,ES,42.7762,-9.0603,51.1,88,88,13.82,overcast clouds
135,Souillac,MU,-20.5167,57.5167,79.36,89,75,16.11,light rain
136,Lubango,AO,-14.9172,13.4925,58.69,59,60,3.78,broken clouds
137,Qaanaaq,GL,77.484,-69.3632,-0.72,69,100,7.67,overcast clouds
138,Neuquen,AR,-38.9516,-68.0591,76.89,38,20,8.05,few clouds
139,Stryn,NO,61.9045,6.7226,39.88,97,100,9.08,overcast clouds
140,Touros,BR,-5.1989,-35.4608,81.5,71,12,13.96,few clouds
141,Kapoeta,SS,4.7717,33.5903,82.2,36,100,4.65,overcast clouds
142,Tiarei,PF,-17.5333,-149.3333,80.62,76,11,16.13,light rain
143,Gizo,SB,-8.103,156.8419,83.41,78,92,11.56,moderate rain
144,Carnarvon,AU,-24.8667,113.6333,77.07,65,76,9.22,broken clouds
145,Asfi,MA,32.2994,-9.2372,63.43,56,95,14.63,overcast clouds
146,Matamoros,MX,25.5333,-103.25,51.89,38,36,11.86,scattered clouds
147,Pelym,RU,61.0108,61.9978,3.72,97,100,1.7,overcast clouds
148,Ongole,IN,15.5,80.05,71.35,92,25,2.84,scattered clouds
149,Revda,RU,56.801,59.9303,20.21,98,100,2.68,overcast clouds
150,Kavaratti,IN,10.5669,72.642,77.92,60,98,5.53,overcast clouds
151,East London,ZA,-33.0153,27.9116,68.88,83,100,7.85,light rain
152,Fort Nelson,CA,58.8053,-122.7002,-11.61,77,100,2.3,light snow
153,Tabriz,IR,38.08,46.2919,31.46,100,100,2.3,mist
154,Saint George,US,37.1041,-113.5841,51.94,22,0,3.0,clear sky
155,Katobu,ID,-4.9408,122.5276,77.49,90,100,3.11,overcast clouds
156,Chapais,CA,49.7834,-74.8492,-6.02,94,97,4.16,overcast clouds
157,Saskylakh,RU,71.9167,114.0833,-6.83,99,100,5.91,overcast clouds
158,Oranjemund,NA,-28.55,16.4333,63.73,85,4,13.13,clear sky
159,Tuatapere,NZ,-46.1333,167.6833,55.81,58,96,4.18,overcast clouds
160,Bitung,ID,1.4451,125.1824,72.45,84,100,5.77,overcast clouds
161,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,94,40,11.5,scattered clouds
162,Riyadh,SA,24.6877,46.7219,66.34,61,54,11.63,broken clouds
163,Alice Springs,AU,-23.7,133.8833,63.95,72,2,0.0,clear sky
164,Qui Nhon,VN,13.7667,109.2333,73.24,88,70,15.23,broken clouds
165,Konyshevka,RU,51.8418,35.2941,15.51,100,89,3.74,overcast clouds
166,Namatanai,PG,-3.6667,152.4333,83.8,70,86,8.59,overcast clouds
167,Varhaug,NO,58.6147,5.6457,37.89,67,100,25.05,moderate rain
168,Puerto Cabello,VE,10.4731,-68.0125,76.35,82,1,7.85,clear sky
169,Bandar,ID,2.05,99.75,71.47,96,99,2.13,overcast clouds
170,Mariental,NA,-24.6333,17.9667,78.21,29,16,10.85,few clouds
171,Kapaa,US,22.0752,-159.319,80.47,59,0,1.99,clear sky
172,Ati,TD,13.2154,18.3353,65.73,15,0,16.55,clear sky
173,Deputatskiy,RU,69.3,139.9,-30.24,100,70,2.44,broken clouds
174,Omsukchan,RU,62.5333,155.8,-19.07,77,6,7.38,clear sky
175,Temple Terrace,US,28.0353,-82.3893,81.23,79,0,11.5,clear sky
176,Zambezi,ZM,-13.5432,23.1047,63.57,97,94,4.61,overcast clouds
177,Torbay,CA,47.6666,-52.7314,32.76,96,100,12.66,mist
178,Cabanas,CU,22.9758,-82.9219,80.56,75,27,8.79,scattered clouds
179,Papetoai,PF,-17.4961,-149.8729,80.19,74,5,14.54,light rain
180,Guapore,BR,-28.8456,-51.8903,72.39,99,72,1.83,broken clouds
181,Nuuk,GL,64.1835,-51.7216,5.88,50,100,11.99,overcast clouds
182,Genhe,CN,50.7833,121.5167,-3.93,99,100,3.02,overcast clouds
183,Marshall,US,34.3834,-86.3333,35.42,78,100,1.99,overcast clouds
184,Ciudad Bolivar,VE,8.1222,-63.5497,88.16,36,30,8.14,scattered clouds
185,Sola,VU,-13.8833,167.55,81.7,78,100,24.49,light rain
186,Port Macquarie,AU,-31.4333,152.9167,69.89,64,85,16.89,overcast clouds
187,Bathsheba,BB,13.2167,-59.5167,79.41,69,40,12.66,scattered clouds
188,Limoges,FR,45.75,1.3333,44.24,100,100,4.61,mist
189,Dunedin,NZ,-45.8742,170.5036,58.8,57,100,8.01,overcast clouds
190,Faanui,PF,-16.4833,-151.75,80.92,74,27,14.16,light rain
191,Kamenka,RU,51.3223,42.7678,11.25,98,95,6.96,overcast clouds
192,Kodiak,US,57.79,-152.4072,36.91,75,100,4.61,overcast clouds
193,Moranbah,AU,-22.0016,148.0466,76.03,57,50,21.68,scattered clouds
194,Mecca,SA,21.4267,39.8261,59.65,57,41,14.92,scattered clouds
195,Klaksvik,FO,62.2266,-6.589,34.72,53,93,34.92,overcast clouds
196,Haines Junction,CA,60.7522,-137.5108,6.75,61,100,1.14,overcast clouds
197,Letychiv,UA,49.3826,27.6305,27.5,97,98,7.38,light snow
198,Buin,CL,-33.7333,-70.75,84.52,33,0,7.94,clear sky
199,Porto Velho,BR,-8.7619,-63.9039,77.05,94,75,3.44,broken clouds
200,Fortuna,US,40.5982,-124.1573,62.19,78,0,4.0,clear sky
201,Santiago,CL,-33.4569,-70.6483,83.64,33,20,9.22,few clouds
202,Geraldton,AU,-28.7667,114.6,75.61,27,0,11.5,clear sky
203,Vytegra,RU,61.0064,36.4481,2.66,97,77,7.05,broken clouds
204,Jalu,LY,29.0331,21.5482,51.76,68,0,8.21,clear sky
205,Alghero,IT,40.5589,8.3181,51.98,93,40,2.3,scattered clouds
206,Aklavik,CA,68.2191,-135.0107,-17.57,75,0,11.5,clear sky
207,Cefalu,IT,38.0386,14.0229,56.75,53,1,4.0,clear sky
208,Krasyliv,UA,49.6519,26.9725,29.32,97,98,7.05,overcast clouds
209,Yairipok,IN,24.6667,94.0667,52.12,89,98,2.06,overcast clouds
210,Ribeira Grande,PT,38.5167,-28.7,59.27,82,87,14.65,overcast clouds
211,Ponta Do Sol,PT,32.6667,-17.1,66.7,66,100,2.46,overcast clouds
212,Guayaquil,EC,-2.1667,-79.9,87.76,58,75,5.75,broken clouds
213,Cabo San Lucas,MX,22.8909,-109.9124,74.61,57,7,6.62,clear sky
214,Garowe,SO,8.4054,48.4845,64.27,50,34,9.86,scattered clouds
215,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,71.62,92,13,7.43,few clouds
216,Boa Vista,BR,2.8197,-60.6733,87.78,48,40,10.36,scattered clouds
217,Guerrero Negro,MX,27.9769,-114.0611,66.88,19,0,7.61,clear sky
218,San Patricio,US,28.017,-97.5169,46.49,51,57,17.22,broken clouds
219,Imamoglu,TR,37.2651,35.6572,45.63,70,5,7.07,clear sky
220,Tiznit,MA,29.5833,-9.5,62.69,35,99,3.15,overcast clouds
221,Dryden,CA,49.7833,-92.7503,1.69,60,0,8.05,clear sky
222,Longyearbyen,SJ,78.2186,15.6401,19.24,63,40,16.11,scattered clouds
223,Kaitangata,NZ,-46.2817,169.8464,56.68,49,84,4.85,broken clouds
224,Praya,CV,14.9215,-23.5087,72.14,68,0,17.27,clear sky
225,Ebolowa,CM,2.9,11.15,69.3,96,85,2.01,overcast clouds
226,Takaungu,KE,-3.6837,39.8566,76.44,91,97,4.88,overcast clouds
227,Batesville,US,35.7698,-91.641,36.01,38,0,8.05,clear sky
228,Salamanca,ES,40.8333,-6.0,38.98,87,99,1.16,overcast clouds
229,Saint-Louis,SN,16.3333,-15.0,77.38,8,0,9.46,clear sky
230,Kasongo-Lunda,CD,-6.4667,16.8167,68.77,95,98,1.3,overcast clouds
231,Bayir,TR,37.2687,28.2167,34.32,77,20,4.9,few clouds
232,Airai,TL,-8.9266,125.4092,64.67,80,86,1.45,overcast clouds
233,Tigil,RU,57.8,158.6667,4.5,89,96,2.68,overcast clouds
234,Alofi,NU,-19.0595,-169.9187,82.29,78,100,9.22,overcast clouds
235,Tuburan,PH,6.6439,122.2736,77.09,78,100,12.55,overcast clouds
236,Batemans Bay,AU,-35.7167,150.1833,66.99,80,89,10.4,light rain
237,Grand-Santi,GF,4.25,-54.3833,73.49,98,80,2.71,light rain
238,Agua Verde,MX,22.9,-106.05,77.09,59,0,10.92,clear sky
239,Chokurdakh,RU,70.6333,147.9167,-31.11,100,44,2.06,scattered clouds
240,Alenquer,BR,-1.9417,-54.7383,79.14,93,100,1.92,overcast clouds
241,Longonjo,AO,-12.9067,15.2533,61.9,92,95,3.53,overcast clouds
242,Lesnoy,RU,57.6198,63.0784,19.99,94,100,5.08,overcast clouds
243,Ayr,GB,55.4627,-4.6339,40.98,70,40,16.11,scattered clouds
244,Koumra,TD,8.9126,17.5539,75.31,13,50,7.43,scattered clouds
245,Sadovyy,RU,53.3,34.3333,21.76,73,98,0.0,overcast clouds
246,Soyo,AO,-6.1349,12.3689,77.92,78,70,6.6,broken clouds
247,Jeremie,HT,18.65,-74.1167,77.31,73,12,3.76,few clouds
248,Nanortalik,GL,60.1432,-45.2371,10.74,73,100,39.01,overcast clouds
249,Yarada,IN,17.65,83.2667,73.72,94,40,2.3,mist
250,Awang,PH,7.1531,124.2211,74.66,87,100,7.07,overcast clouds
251,High Level,CA,58.5169,-117.136,-0.29,78,100,8.05,light snow
252,Ormara,PK,25.2088,64.6357,70.5,48,1,13.38,clear sky
253,Marzuq,YE,14.4,46.4667,62.65,46,5,5.91,clear sky
254,Manoel Urbano,BR,-8.8389,-69.2597,74.82,97,81,3.11,broken clouds
255,Chengzihe,CN,45.3333,131.0667,-10.16,92,17,5.53,few clouds
256,Sandy Bay,AU,-42.913,147.3532,67.15,80,75,6.91,broken clouds
257,Clyde River,CA,70.4692,-68.5914,-7.37,77,100,8.05,light snow
258,Yuryev-Polskiy,RU,56.5,39.6833,0.73,100,100,5.41,light snow
259,Port-Gentil,GA,-0.7193,8.7815,79.9,79,76,8.93,broken clouds
